"station_a","station_b","distance","line","is_blocked","id","time"
"九号村","四海庄","993","t1","0","469","89.37"
"四海庄","太和桥北","638","t1","0","470","57.42"
"太和桥北","瑞合庄","1208","t1","0","471","108.72"
"瑞合庄","融兴街","798","t1","0","472","71.82"
"融兴街","屈庄","787","t1","0","473","70.83"
"西局","东管头","1489","14","0","487","142.94"
"东管头","丽泽商务区","958","14","0","488","91.97"
"丽泽商务区","菜户营","828","14","0","489","79.49"
"菜户营","西铁营","1462","14","0","490","140.35"
"西铁营","景风门","883","14","0","491","84.77"
"景风门","北京南站","1164","14","0","492","111.74"
"苏州街","巴沟","1110","10","0","494","100"
"积水潭","西直门","1899","2","0","495","171.08"
